,Date,POE City,POE State,Encounters
256,2018-02-01,LAS VEGAS,NV,32450.0
257,2018-02-01,DETROIT,MI,27813.0
258,2018-02-01,PHILADELPHIA,PA,16719.0
259,2018-02-01,BLAINE,WA,17218.0
260,2018-02-01,MINN./ST. PAUL,MN,11687.0
261,2018-02-01,TAMPA,FL,10600.0
262,2018-02-01,SAN DIEGO,CA,8488.0
263,2018-02-01,NIAGARA FALLS,NY,3298.0
264,2018-02-01,SANFORD,FL,2087.0
265,2018-02-01,PEACE BRIDGE,NY,4007.0
266,2018-02-01,SAN JUAN,PR,6037.0
267,2018-02-01,CHAMPLAIN,NY,2959.0
268,2018-02-01,PHOENIX,AZ,5683.0
269,2018-02-01,PORTLAND,OR,4100.0
270,2018-03-01,NEW YORK,NY,509225.0
271,2018-03-01,MIAMI,FL,437102.0
272,2018-03-01,LOS ANGELES,CA,345565.0
273,2018-03-01,SAN FRANCISCO,CA,169750.0
274,2018-03-01,HONOLULU,HI,185863.0
275,2018-03-01,NEWARK,NJ,155530.0
276,2018-03-01,ORLANDO,FL,133678.0
277,2018-03-01,CHICAGO,IL,117367.0
278,2018-03-01,AGANA,GU,119290.0
279,2018-03-01,FT. LAUDERDALE,FL,100246.0
280,2018-03-01,ATLANTA,GA,95042.0
281,2018-03-01,WASHINGTON,DC,78317.0
282,2018-03-01,BOSTON,MA,69491.0
283,2018-03-01,HOUSTON,TX,81546.0
284,2018-03-01,DALLAS,TX,65321.0
285,2018-03-01,SEATTLE,WA,43855.0
286,2018-03-01,LAS VEGAS,NV,43346.0
287,2018-03-01,DETROIT,MI,35112.0
288,2018-03-01,PHILADELPHIA,PA,24241.0
289,2018-03-01,BLAINE,WA,21087.0
290,2018-03-01,MINN./ST. PAUL,MN,12093.0
291,2018-03-01,TAMPA,FL,12843.0
292,2018-03-01,SAN DIEGO,CA,10565.0
293,2018-03-01,NIAGARA FALLS,NY,5861.0
294,2018-03-01,SANFORD,FL,5363.0
295,2018-03-01,PEACE BRIDGE,NY,7287.0
296,2018-03-01,SAN JUAN,PR,8833.0
297,2018-03-01,CHAMPLAIN,NY,6967.0
298,2018-03-01,PHOENIX,AZ,7430.0
299,2018-03-01,PORTLAND,OR,4591.0
300,2018-04-01,NEW YORK,NY,570450.0
301,2018-04-01,MIAMI,FL,412491.0
302,2018-04-01,LOS ANGELES,CA,362481.0
303,2018-04-01,SAN FRANCISCO,CA,182158.0
304,2018-04-01,HONOLULU,HI,174089.0
305,2018-04-01,NEWARK,NJ,173054.0
306,2018-04-01,ORLANDO,FL,144839.0
307,2018-04-01,CHICAGO,IL,133333.0
308,2018-04-01,AGANA,GU,103085.0
309,2018-04-01,FT. LAUDERDALE,FL,95921.0
310,2018-04-01,ATLANTA,GA,101632.0
311,2018-04-01,WASHINGTON,DC,89301.0
312,2018-04-01,BOSTON,MA,72015.0
313,2018-04-01,HOUSTON,TX,84346.0
314,2018-04-01,DALLAS,TX,68527.0
315,2018-04-01,SEATTLE,WA,45872.0
316,2018-04-01,LAS VEGAS,NV,51727.0
317,2018-04-01,DETROIT,MI,38197.0
318,2018-04-01,PHILADELPHIA,PA,31157.0
319,2018-04-01,BLAINE,WA,16968.0
320,2018-04-01,MINN./ST. PAUL,MN,13197.0
321,2018-04-01,TAMPA,FL,15043.0
322,2018-04-01,SAN DIEGO,CA,10036.0
323,2018-04-01,NIAGARA FALLS,NY,6538.0
324,2018-04-01,SANFORD,FL,11389.0
325,2018-04-01,PEACE BRIDGE,NY,5502.0
326,2018-04-01,SAN JUAN,PR,8060.0
327,2018-04-01,CHAMPLAIN,NY,4966.0
328,2018-04-01,PHOENIX,AZ,6786.0
329,2018-04-01,PORTLAND,OR,4415.0
330,2018-05-01,NEW YORK,NY,626037.0
331,2018-05-01,MIAMI,FL,380057.0
332,2018-05-01,LOS ANGELES,CA,362372.0
333,2018-05-01,SAN FRANCISCO,CA,206329.0
334,2018-05-01,HONOLULU,HI,181091.0
335,2018-05-01,NEWARK,NJ,184764.0
336,2018-05-01,ORLANDO,FL,148996.0
337,2018-05-01,CHICAGO,IL,168886.0
338,2018-05-01,AGANA,GU,100463.0
339,2018-05-01,FT. LAUDERDALE,FL,95274.0
340,2018-05-01,ATLANTA,GA,103457.0
341,2018-05-01,WASHINGTON,DC,96140.0
342,2018-05-01,BOSTON,MA,91096.0
343,2018-05-01,HOUSTON,TX,78785.0
344,2018-05-01,DALLAS,TX,72209.0
345,2018-05-01,SEATTLE,WA,62836.0
346,2018-05-01,LAS VEGAS,NV,54242.0
347,2018-05-01,DETROIT,MI,41644.0
348,2018-05-01,PHILADELPHIA,PA,30905.0
349,2018-05-01,BLAINE,WA,24953.0
350,2018-05-01,MINN./ST. PAUL,MN,15389.0
351,2018-05-01,TAMPA,FL,12227.0
352,2018-05-01,SAN DIEGO,CA,11472.0
353,2018-05-01,NIAGARA FALLS,NY,12370.0
354,2018-05-01,SANFORD,FL,14329.0
355,2018-05-01,PEACE BRIDGE,NY,8672.0
356,2018-05-01,SAN JUAN,PR,7513.0
357,2018-05-01,CHAMPLAIN,NY,7701.0
358,2018-05-01,PHOENIX,AZ,5975.0
359,2018-05-01,PORTLAND,OR,5809.0
360,2018-06-01,NEW YORK,NY,612442.0
361,2018-06-01,MIAMI,FL,364137.0
362,2018-06-01,LOS ANGELES,CA,412045.0
363,2018-06-01,SAN FRANCISCO,CA,225217.0
364,2018-06-01,HONOLULU,HI,187189.0
365,2018-06-01,NEWARK,NJ,171346.0
366,2018-06-01,ORLANDO,FL,140133.0
367,2018-06-01,CHICAGO,IL,159837.0
368,2018-06-01,AGANA,GU,105998.0
369,2018-06-01,FT. LAUDERDALE,FL,95968.0
370,2018-06-01,ATLANTA,GA,85233.0
371,2018-06-01,WASHINGTON,DC,103414.0
372,2018-06-01,BOSTON,MA,98294.0
373,2018-06-01,HOUSTON,TX,76237.0
374,2018-06-01,DALLAS,TX,66129.0
375,2018-06-01,SEATTLE,WA,74550.0
376,2018-06-01,LAS VEGAS,NV,57314.0
377,2018-06-01,DETROIT,MI,41212.0
378,2018-06-01,PHILADELPHIA,PA,29096.0
379,2018-06-01,BLAINE,WA,25114.0
380,2018-06-01,MINN./ST. PAUL,MN,15934.0
381,2018-06-01,TAMPA,FL,9381.0
382,2018-06-01,SAN DIEGO,CA,10642.0
383,2018-06-01,NIAGARA FALLS,NY,13307.0
384,2018-06-01,SANFORD,FL,13854.0
385,2018-06-01,PEACE BRIDGE,NY,9779.0
386,2018-06-01,SAN JUAN,PR,8508.0
387,2018-06-01,CHAMPLAIN,NY,8916.0
388,2018-06-01,PHOENIX,AZ,5138.0
389,2018-06-01,PORTLAND,OR,8324.0
390,2018-07-01,NEW YORK,NY,685477.0
391,2018-07-01,MIAMI,FL,427904.0
392,2018-07-01,LOS ANGELES,CA,463979.0
393,2018-07-01,SAN FRANCISCO,CA,263632.0
394,2018-07-01,HONOLULU,HI,192923.0
395,2018-07-01,NEWARK,NJ,199597.0
396,2018-07-01,ORLANDO,FL,180087.0
397,2018-07-01,CHICAGO,IL,180193.0
398,2018-07-01,AGANA,GU,115755.0
399,2018-07-01,FT. LAUDERDALE,FL,119071.0
400,2018-07-01,ATLANTA,GA,102463.0
401,2018-07-01,WASHINGTON,DC,114110.0
402,2018-07-01,BOSTON,MA,118261.0
403,2018-07-01,HOUSTON,TX,85583.0
404,2018-07-01,DALLAS,TX,69806.0
405,2018-07-01,SEATTLE,WA,82446.0
406,2018-07-01,LAS VEGAS,NV,61265.0
407,2018-07-01,DETROIT,MI,49148.0
408,2018-07-01,PHILADELPHIA,PA,39973.0
409,2018-07-01,BLAINE,WA,28888.0
410,2018-07-01,MINN./ST. PAUL,MN,21977.0
411,2018-07-01,TAMPA,FL,14326.0
412,2018-07-01,SAN DIEGO,CA,12955.0
413,2018-07-01,NIAGARA FALLS,NY,15927.0
414,2018-07-01,SANFORD,FL,15029.0
415,2018-07-01,PEACE BRIDGE,NY,13341.0
416,2018-07-01,SAN JUAN,PR,9785.0
417,2018-07-01,CHAMPLAIN,NY,12916.0
418,2018-07-01,PHOENIX,AZ,5238.0
419,2018-07-01,PORTLAND,OR,10498.0
420,2018-08-01,NEW YORK,NY,664866.0
421,2018-08-01,MIAMI,FL,399841.0
422,2018-08-01,LOS ANGELES,CA,468270.0
423,2018-08-01,SAN FRANCISCO,CA,252970.0
424,2018-08-01,HONOLULU,HI,222369.0
425,2018-08-01,NEWARK,NJ,196015.0
426,2018-08-01,ORLANDO,FL,176153.0
427,2018-08-01,CHICAGO,IL,195734.0
428,2018-08-01,AGANA,GU,129348.0
429,2018-08-01,FT. LAUDERDALE,FL,116826.0
430,2018-08-01,ATLANTA,GA,113456.0
431,2018-08-01,WASHINGTON,DC,109632.0
432,2018-08-01,BOSTON,MA,116889.0
433,2018-08-01,HOUSTON,TX,80774.0
434,2018-08-01,DALLAS,TX,76463.0
